SourceRow,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,LineAmount,Year,Month,HasCustomerID,TransactionType,ItemType
24963,538351,21212,PACK OF 72 RETROSPOT CAKE CASES,113,2010-12-10 15:17:00,2.13,,United Kingdom,240.69,2010,2010-12,False,Sale,Merchandise
25094,538353,82583,HOT BATHS METAL SIGN,144,2010-12-10 15:31:00,1.69,13798,United Kingdom,243.35999999999999,2010,2010-12,True,Sale,Merchandise
25348,538367,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2010-12-12 10:48:00,1.65,14800,United Kingdom,39.599999999999994,2010,2010-12,True,Sale,Merchandise
25651,538379,22960,JAM MAKING SET WITH JARS,1,2010-12-12 11:26:00,4.25,17126,United Kingdom,4.25,2010,2010-12,True,Sale,Merchandise
25976,538449,37449,CERAMIC CAKE STAND + HANGING CAKES,1,2010-12-12 12:24:00,9.95,17085,United Kingdom,9.95,2010,2010-12,True,Sale,Merchandise
27084,538524,22664,TOY TIDY DOLLY GIRL DESIGN,1,2010-12-13 09:35:00,4.21,,United Kingdom,4.21,2010,2010-12,False,Sale,Merchandise
28126,538626,72799E,IVORY PILLAR CANDLE SILVER FLOCK,2,2010-12-13 12:57:00,2.95,17338,United Kingdom,5.9,2010,2010-12,True,Sale,Merchandise
29390,538783,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,2010-12-14 11:38:00,2.55,14961,United Kingdom,15.299999999999999,2010,2010-12,True,Sale,Merchandise
29404,538785,22937,BAKING MOULD CUPCAKE CHOCOLATE,12,2010-12-14 11:39:00,2.55,14961,United Kingdom,30.599999999999998,2010,2010-12,True,Sale,Merchandise
29815,538826,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2010-12-14 12:58:00,2.55,12370,Cyprus,22.95,2010,2010-12,True,Sale,Merchandise
30457,538866,22654,DELUXE SEWING KIT,4,2010-12-14 14:40:00,5.95,17841,United Kingdom,23.8,2010,2010-12,True,Sale,Merchandise
30864,538883,22309,TEA COSY RED  STRIPE,2,2010-12-14 15:56:00,5.06,,United Kingdom,10.12,2010,2010-12,False,Sale,Merchandise
31175,538902,21879,HEARTS GIFT TAPE,24,2010-12-15 10:04:00,0.19,14150,United Kingdom,4.5600000000000005,2010,2010-12,True,Sale,Merchandise
31196,538903,22460,EMBOSSED GLASS TEALIGHT HOLDER,12,2010-12-15 10:17:00,1.25,13496,United Kingdom,15.0,2010,2010-12,True,Sale,Merchandise
31634,539000,21452,TOADSTOOL MONEY BOX,6,2010-12-15 12:27:00,2.95,13092,United Kingdom,17.700000000000003,2010,2010-12,True,Sale,Merchandise
32506,539084,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,2010-12-16 09:31:00,1.25,13890,United Kingdom,15.0,2010,2010-12,True,Sale,Merchandise
33209,539240,84823,DANISH ROSE FOLDING CHAIR,2,2010-12-16 13:15:00,7.95,15194,United Kingdom,15.9,2010,2010-12,True,Sale,Merchandise
33717,539290,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,4,2010-12-16 16:36:00,1.45,16271,United Kingdom,5.8,2010,2010-12,True,Sale,Merchandise
33835,539298,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2010-12-16 17:29:00,4.95,14180,United Kingdom,14.850000000000001,2010,2010-12,True,Sale,Merchandise
34041,539317,22077,6 RIBBONS RUSTIC CHARM,1,2010-12-16 19:04:00,1.65,17392,United Kingdom,1.65,2010,2010-12,True,Sale,Merchandise
34326,539334,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,1,2010-12-17 10:12:00,0.85,12748,United Kingdom,0.85,2010,2010-12,True,Sale,Merchandise
34475,539395,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,36,2010-12-17 11:52:00,0.85,12471,Germany,30.599999999999998,2010,2010-12,True,Sale,Merchandise
34660,539416,22047,EMPIRE GIFT WRAP,25,2010-12-17 13:56:00,0.42,17888,United Kingdom,10.5,2010,2010-12,True,Sale,Merchandise
35381,539436,22189,CREAM HEART CARD HOLDER,1,2010-12-17 14:49:00,8.47,,United Kingdom,8.47,2010,2010-12,False,Sale,Merchandise
35710,539437,21262,WHITE GOOSE FEATHER CHRISTMAS TREE,1,2010-12-17 14:54:00,7.62,,United Kingdom,7.62,2010,2010-12,False,Sale,Merchandise
36516,539451,21167,WHITE SAGE INCENSE,2,2010-12-17 16:59:00,0.43,,United Kingdom,0.86,2010,2010-12,False,Sale,Merchandise
36727,539451,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,2,2010-12-17 16:59:00,5.91,,United Kingdom,11.82,2010,2010-12,False,Sale,Merchandise
37339,539458,21014,SWISS CHALET TREE DECORATION,1,2010-12-17 17:30:00,0.85,,United Kingdom,0.85,2010,2010-12,False,Sale,Merchandise
37623,539472,84826,ASSTD DESIGN 3D PAPER STICKERS,2,2010-12-19 14:23:00,0.85,15581,United Kingdom,1.7,2010,2010-12,True,Sale,Merchandise
38007,539492,21755,LOVE BUILDING BLOCK WORD,1,2010-12-20 10:14:00,11.87,,United Kingdom,11.87,2010,2010-12,False,Sale,Merchandise
38337,539501,22190,LOCAL CAFE MUG,2,2010-12-20 11:08:00,2.1,17085,United Kingdom,4.2,2010,2010-12,True,Sale,Merchandise
38354,539502,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2,2010-12-20 11:14:00,4.95,14099,United Kingdom,9.9,2010,2010-12,True,Sale,Merchandise
39209,539631,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1,2010-12-20 15:03:00,1.66,,United Kingdom,1.66,2010,2010-12,False,Sale,Merchandise
39897,539708,90013B,BLACK VINTAGE EARRINGS,1,2010-12-21 12:18:00,4.24,,United Kingdom,4.24,2010,2010-12,False,Sale,Merchandise
40281,539735,22208,WOOD STAMP SET THANK YOU,1,2010-12-21 15:17:00,3.36,,United Kingdom,3.36,2010,2010-12,False,Sale,Merchandise
40673,539740,22422,TOOTHPASTE TUBE PEN,1,2010-12-21 15:20:00,1.28,,United Kingdom,1.28,2010,2010-12,False,Sale,Merchandise
41180,539754,21165,BEWARE OF THE CAT METAL SIGN,1,2010-12-21 16:06:00,1.69,12748,United Kingdom,1.69,2010,2010-12,True,Sale,Merchandise
41835,539958,21205,MULTICOLOUR 3D BALLS GARLAND,2,2010-12-23 13:26:00,2.51,,United Kingdom,5.02,2010,2010-12,False,Sale,Merchandise
42461,539990,22379,RECYCLING BAG RETROSPOT,1,2010-12-23 16:31:00,2.1,,United Kingdom,2.1,2010,2010-12,False,Sale,Merchandise
43819,540148,22156,HEART DECORATION WITH PEARLS,12,2011-01-05 10:58:00,0.85,14189,United Kingdom,10.2,2011,2011-01,True,Sale,Merchandise
44018,540154,84519A,TOMATO CHARLIE+LOLA COASTER SET,1,2011-01-05 11:30:00,3.36,,United Kingdom,3.36,2011,2011-01,False,Sale,Merchandise
44126,540154,21633,SUNFLOWER DECORATIVE PARASOL,1,2011-01-05 11:30:00,8.47,,United Kingdom,8.47,2011,2011-01,False,Sale,Merchandise
44362,540168,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2011-01-05 12:15:00,3.75,13715,United Kingdom,15.0,2011,2011-01,True,Sale,Merchandise
44869,540242,22673,FRENCH GARDEN SIGN BLUE METAL,4,2011-01-05 15:30:00,1.25,15046,United Kingdom,5.0,2011,2011-01,True,Sale,Merchandise
45176,540255,85161,ACRYLIC GEOMETRIC LAMP,1,2011-01-05 16:50:00,12.72,,United Kingdom,12.72,2011,2011-01,False,Sale,Merchandise
45204,540255,21974,SET OF 36 PAISLEY FLOWER DOILIES,3,2011-01-05 16:50:00,2.98,,United Kingdom,8.94,2011,2011-01,False,Sale,Merchandise
45857,540288,21843,RED RETROSPOT CAKE STAND,1,2011-01-06 12:45:00,10.95,17634,United Kingdom,10.95,2011,2011-01,True,Sale,Merchandise
47335,540410,21086,SET/6 RED SPOTTY PAPER CUPS,12,2011-01-07 10:04:00,0.65,12530,Germany,7.800000000000001,2011,2011-01,True,Sale,Merchandise
47991,540458,22654,DELUXE SEWING KIT,3,2011-01-07 12:28:00,5.95,12501,Germany,17.85,2011,2011-01,True,Sale,Merchandise
48172,540464,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,32,2011-01-07 13:17:00,0.72,14298,United Kingdom,23.04,2011,2011-01,True,Sale,Merchandise
48624,540469,22083,PAPER CHAIN KIT RETROSPOT,6,2011-01-07 14:04:00,2.95,12484,Spain,17.700000000000003,2011,2011-01,True,Sale,Merchandise
49374,540514,22457,NATURAL SLATE HEART CHALKBOARD,3,2011-01-09 11:43:00,2.95,15708,United Kingdom,8.850000000000001,2011,2011-01,True,Sale,Merchandise
49475,540517,51014A,"FEATHER PEN,HOT PINK",12,2011-01-09 12:02:00,0.85,17128,United Kingdom,10.2,2011,2011-01,True,Sale,Merchandise
49890,540537,21900,"KEY FOB , SHED",3,2011-01-09 14:28:00,0.65,13565,United Kingdom,1.9500000000000002,2011,2011-01,True,Sale,Merchandise
50208,540550,21622,VINTAGE UNION JACK CUSHION COVER,4,2011-01-10 09:11:00,4.95,12539,Spain,19.8,2011,2011-01,True,Sale,Merchandise
50313,540551,21219,SET/4 BADGES BALLOON GIRL,4,2011-01-10 09:43:00,0.85,,United Kingdom,3.4,2011,2011-01,False,Sale,Merchandise
50375,540551,21881,CUTE CATS TAPE,6,2011-01-10 09:43:00,0.43,,United Kingdom,2.58,2011,2011-01,False,Sale,Merchandise
50653,540551,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,3,2011-01-10 09:43:00,8.47,,United Kingdom,25.410000000000004,2011,2011-01,False,Sale,Merchandise
50715,540551,85227,SET OF 6 3D KIT CARDS FOR KIDS,1,2011-01-10 09:43:00,1.66,,United Kingdom,1.66,2011,2011-01,False,Sale,Merchandise
51382,540646,84949,SILVER HANGING T-LIGHT HOLDER,5,2011-01-10 14:32:00,3.36,,United Kingdom,16.8,2011,2011-01,False,Sale,Merchandise
52055,540681,20696,FLORAL SOFT CAR TOY,2,2011-01-10 16:25:00,3.36,,United Kingdom,6.72,2011,2011-01,False,Sale,Merchandise
52136,540689,22470,HEART OF WICKER LARGE,1284,2011-01-11 08:43:00,3.21,17450,United Kingdom,4121.64,2011,2011-01,True,Sale,Merchandise
52727,540816,22716,CARD CIRCUS PARADE,12,2011-01-11 12:55:00,0.42,15518,United Kingdom,5.04,2011,2011-01,True,Sale,Merchandise
53356,540832,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,14,2011-01-11 14:42:00,2.46,,United Kingdom,34.44,2011,2011-01,False,Sale,Merchandise
53478,C540837,84978,HANGING HEART JAR T-LIGHT HOLDER,-2,2011-01-11 15:02:00,1.06,14733,United Kingdom,-2.12,2011,2011-01,True,Cancellation,Merchandise
53513,540839,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1,2011-01-11 15:42:00,1.65,16791,United Kingdom,1.65,2011,2011-01,True,Sale,Merchandise
54300,540907,85066,CREAM SWEETHEART MINI CHEST,2,2011-01-12 11:52:00,12.75,13488,United Kingdom,25.5,2011,2011-01,True,Sale,Merchandise
54478,540953,22332,SKULLS PARTY BAG + STICKER SET,1,2011-01-12 13:16:00,1.65,14587,United Kingdom,1.65,2011,2011-01,True,Sale,Merchandise
54862,540977,22421,LIPSTICK PEN FUSCHIA,1,2011-01-12 15:01:00,0.85,,United Kingdom,0.85,2011,2011-01,False,Sale,Merchandise
56061,541018,21166,COOK WITH WINE METAL SIGN,2,2011-01-13 12:03:00,1.95,14978,United Kingdom,3.9,2011,2011-01,True,Sale,Merchandise
57683,541216,21238,RED RETROSPOT CUP,4,2011-01-14 13:52:00,0.85,15311,United Kingdom,3.4,2011,2011-01,True,Sale,Merchandise
59005,541267,22782,SET 3 WICKER STORAGE BASKETS,8,2011-01-17 10:37:00,9.95,12779,Poland,79.6,2011,2011-01,True,Sale,Merchandise
59383,541285,21754,HOME BUILDING BLOCK WORD,6,2011-01-17 12:45:00,5.95,13001,United Kingdom,35.7,2011,2011-01,True,Sale,Merchandise
60201,541421,22594,CHRISTMAS GINGHAM TREE,3,2011-01-17 17:44:00,1.63,,United Kingdom,4.89,2011,2011-01,False,Sale,Merchandise
61959,C541492,20931,BLUE POT PLANT CANDLE,-1,2011-01-18 14:24:00,3.75,,United Kingdom,-3.75,2011,2011-01,False,Cancellation,Merchandise
62480,C541501,85118,HEART T-LIGHT HOLDER,-7,2011-01-18 15:26:00,1.25,13458,United Kingdom,-8.75,2011,2011-01,True,Cancellation,Merchandise
62765,541516,21677,HEARTS  STICKERS,1,2011-01-18 17:34:00,0.79,,United Kingdom,0.79,2011,2011-01,False,Sale,Merchandise
62859,541516,84951B,SET OF 4 BLACK LOVEBIRD COASTERS,1,2011-01-18 17:34:00,1.63,,United Kingdom,1.63,2011,2011-01,False,Sale,Merchandise
63358,541566,22117,METAL SIGN HER DINNER IS SERVED,12,2011-01-19 11:50:00,0.85,17722,United Kingdom,10.2,2011,2011-01,True,Sale,Merchandise
64309,541596,84870C,GREEN GEISHA GIRL,1,2011-01-19 16:19:00,3.75,17602,United Kingdom,3.75,2011,2011-01,True,Sale,Merchandise
64608,C541656,21528,DAIRY MAID TRADITIONAL TEAPOT,-1,2011-01-20 12:07:00,6.95,17315,United Kingdom,-6.95,2011,2011-01,True,Cancellation,Merchandise
64800,541672,22727,ALARM CLOCK BAKELIKE RED,8,2011-01-20 13:02:00,3.75,14735,United Kingdom,30.0,2011,2011-01,True,Sale,Merchandise
65020,541684,22744,MAKE YOUR OWN MONSOON CARD KIT,1,2011-01-20 15:22:00,2.95,15498,United Kingdom,2.95,2011,2011-01,True,Sale,Merchandise
65608,541696,22271,FELTCRAFT DOLL ROSIE,1,2011-01-20 18:08:00,5.79,,United Kingdom,5.79,2011,2011-01,False,Sale,Merchandise
65857,541696,16237,SLEEPING CAT ERASERS,4,2011-01-20 18:08:00,0.42,,United Kingdom,1.68,2011,2011-01,False,Sale,Merchandise
66069,541711,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,72,2011-01-21 11:18:00,2.95,14646,Netherlands,212.4,2011,2011-01,True,Sale,Merchandise
66792,541816,20717,STRAWBERRY SHOPPER BAG,3,2011-01-21 15:56:00,1.25,17799,United Kingdom,3.75,2011,2011-01,True,Sale,Merchandise
67254,541827,84313C,ORANGE TV TRAY TABLE,1,2011-01-21 17:05:00,5.79,,United Kingdom,5.79,2011,2011-01,False,Sale,Merchandise
67494,C541831,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-1,2011-01-21 17:12:00,4.95,18223,United Kingdom,-4.95,2011,2011-01,True,Cancellation,Merchandise
67915,541848,21917,SET 12 KIDS  WHITE CHALK STICKS,1,2011-01-23 13:31:00,0.42,17611,United Kingdom,0.42,2011,2011-01,True,Sale,Merchandise
69196,541965,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2011-01-24 13:27:00,1.25,12625,Germany,30.0,2011,2011-01,True,Sale,Merchandise
69387,541969,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,2011-01-24 13:46:00,8.29,,United Kingdom,8.29,2011,2011-01,False,Sale,Merchandise
69444,541971,22027,TEA PARTY BIRTHDAY CARD,2,2011-01-24 13:48:00,0.83,,United Kingdom,1.66,2011,2011-01,False,Sale,Merchandise
69988,541993,85175,CACTI T-LIGHT CANDLES,2,2011-01-25 09:37:00,13.29,,United Kingdom,26.58,2011,2011-01,False,Sale,Merchandise
70191,541999,90214E,"LETTER ""E"" BLING KEY RING",4,2011-01-25 10:45:00,0.83,,United Kingdom,3.32,2011,2011-01,False,Sale,Merchandise
71320,542115,22719,GUMBALL MONOCHROME COAT RACK,2,2011-01-25 14:01:00,2.46,,United Kingdom,4.92,2011,2011-01,False,Sale,Merchandise
71603,542151,20750,RED RETROSPOT MINI CASES,2,2011-01-26 10:30:00,7.95,13491,United Kingdom,15.9,2011,2011-01,True,Sale,Merchandise
72284,542238,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2011-01-26 14:35:00,9.95,12591,Italy,19.9,2011,2011-01,True,Sale,Merchandise
72563,542255,22087,PAPER BUNTING WHITE LACE,3,2011-01-26 16:43:00,5.79,,United Kingdom,17.37,2011,2011-01,False,Sale,Merchandise
72636,542255,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-01-26 16:43:00,5.79,,United Kingdom,5.79,2011,2011-01,False,Sale,Merchandise
73212,542344,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,2011-01-27 11:30:00,7.46,,United Kingdom,14.92,2011,2011-01,False,Sale,Merchandise
74286,542415,84967B,,-1,2011-01-27 17:15:00,0.0,,United Kingdom,-0.0,2011,2011-01,False,StockAdjustment,Merchandise
75539,542601,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2011-01-30 11:52:00,7.95,16897,United Kingdom,7.95,2011,2011-01,True,Sale,Merchandise
75675,542607,22936,BAKING MOULD ROSE WHITE CHOCOLATE,1,2011-01-30 13:48:00,3.25,13148,United Kingdom,3.25,2011,2011-01,True,Sale,Merchandise
75791,542610,22560,TRADITIONAL MODELLING CLAY,10,2011-01-30 14:05:00,1.25,13148,United Kingdom,12.5,2011,2011-01,True,Sale,Merchandise
76807,542659,21094,SET/6 RED SPOTTY PAPER PLATES,48,2011-01-31 12:09:00,0.85,15738,United Kingdom,40.8,2011,2011-01,True,Sale,Merchandise
76950,542664,22973,CHILDREN'S CIRCUS PARADE MUG,3,2011-01-31 12:14:00,3.29,,United Kingdom,9.870000000000001,2011,2011-01,False,Sale,Merchandise
76959,542664,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-01-31 12:14:00,4.96,,United Kingdom,4.96,2011,2011-01,False,Sale,Merchandise
77088,542708,22934,BAKING MOULD EASTER EGG WHITE CHOC,48,2011-01-31 13:07:00,2.55,17621,United Kingdom,122.39999999999999,2011,2011-01,True,Sale,Merchandise
77489,542733,20992,JAZZ HEARTS PURSE NOTEBOOK,1,2011-01-31 15:35:00,0.85,15058,United Kingdom,0.85,2011,2011-01,True,Sale,Merchandise
78084,C542799,22156,HEART DECORATION WITH PEARLS,-1,2011-02-01 11:12:00,0.72,14606,United Kingdom,-0.72,2011,2011-02,True,Cancellation,Merchandise
78310,542864,22701,PINK DOG BOWL,24,2011-02-01 12:03:00,0.85,13802,United Kingdom,20.4,2011,2011-02,True,Sale,Merchandise
78515,542888,22624,IVORY KITCHEN SCALES,2,2011-02-01 13:15:00,8.5,15687,United Kingdom,17.0,2011,2011-02,True,Sale,Merchandise
79147,C542910,22360,GLASS JAR ENGLISH CONFECTIONERY,-3,2011-02-01 15:38:00,2.55,17511,United Kingdom,-7.6499999999999995,2011,2011-02,True,Cancellation,Merchandise
79264,542927,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-02-02 10:06:00,2.95,18198,United Kingdom,17.700000000000003,2011,2011-02,True,Sale,Merchandise
79271,542928,21498,RED RETROSPOT WRAP,25,2011-02-02 10:22:00,0.42,17863,United Kingdom,10.5,2011,2011-02,True,Sale,Merchandise
79387,542932,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-02-02 10:54:00,0.85,13089,United Kingdom,10.2,2011,2011-02,True,Sale,Merchandise
79487,542993,22859,EASTER TIN BUNNY BOUQUET,6,2011-02-02 12:02:00,1.65,16156,United Kingdom,9.899999999999999,2011,2011-02,True,Sale,Merchandise
80024,543013,85131D,BEADED CRYSTAL HEART PINK ON STICK,1,2011-02-02 13:35:00,0.83,,United Kingdom,0.83,2011,2011-02,False,Sale,Merchandise
80420,543040,21624,VINTAGE UNION JACK DOORSTOP,2,2011-02-02 17:06:00,5.95,17337,United Kingdom,11.9,2011,2011-02,True,Sale,Merchandise
81153,543111,22457,NATURAL SLATE HEART CHALKBOARD,6,2011-02-03 12:44:00,2.95,15719,United Kingdom,17.700000000000003,2011,2011-02,True,Sale,Merchandise
81705,543171,47566B,TEA TIME PARTY BUNTING,2,2011-02-04 09:11:00,8.29,,United Kingdom,16.58,2011,2011-02,False,Sale,Merchandise
82335,543200,21876,POTTERING MUG,1,2011-02-04 13:03:00,3.29,,United Kingdom,3.29,2011,2011-02,False,Sale,Merchandise
83426,543306,21240,BLUE POLKADOT CUP,2,2011-02-07 11:56:00,0.85,16686,United Kingdom,1.7,2011,2011-02,True,Sale,Merchandise
